city,lat,lon,date,rainfall_weekly,rainfall_30d,rainfall_90d,temp_mean,temp_max,temp_min,humidity_mean,wind_speed,solar_radiation,et0,Sample_ID,Soil_Collection_Date,Depth_cm,pH,Org_Carbon_pct,Nitrogen_pct,Texture_Code_encoded,month,year,day_of_year
Mumbai,19.076,72.8777,2020-01-05,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.0016932380873356,-1.178165874086994,-0.8164823815457644,0.8993025895363582,-1.0069257796902058,0.09257866000476199,-1.4683374480453013,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.5931303020443854,-1.4182871576441818,-1.6855415087940955
Mumbai,19.076,72.8777,2020-01-12,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-0.9624352115320005,-1.0261413264013488,-0.880878203845151,0.9538538308663035,-1.2075545783535924,0.13317384550091674,-1.2100161061651888,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.5931303020443854,-1.4182871576441818,-1.6191818928701456
Mumbai,19.076,72.8777,2020-01-19,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.0115077447261696,-1.0904594042683526,-0.9150474156774787,0.7549022448394436,-0.9839370631766926,0.19841610790545158,-1.2261611900326959,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.5931303020443854,-1.4182871576441818,-1.552822276946196
Mumbai,19.076,72.8777,2020-01-26,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.0269305408729084,-1.0992300512502167,-0.9360746229589112,0.9116033596401689,-1.1051502957024886,0.2781566508443278,-1.1454357706951606,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.5931303020443854,-1.4182871576441818,-1.486462661022246
Mumbai,19.076,72.8777,2020-02-02,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-0.969445573416882,-1.0539150418439187,-0.8690503997493453,0.8025008769802784,-1.1929253951177203,0.3709456462641109,-1.0808554352251323,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.3037726062659687,-1.4182871576441818,-1.4201030450982963
Mumbai,19.076,72.8777,2020-02-09,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-0.913362678337831,-0.9983676109587795,-0.8151681810906746,0.9838035319886266,-0.9484090467467179,0.47388343805793287,-0.9759123900863367,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.3037726062659687,-1.4182871576441818,-1.3537434291743466
Mumbai,19.076,72.8777,2020-02-16,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.0269305408729084,-1.166471678111175,-0.8769356024798826,0.9265782102013305,-0.9881168298155133,0.5855201981723593,-1.0485652674901182,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.3037726062659687,-1.4182871576441818,-1.2873838132503967
Mumbai,19.076,72.8777,2020-02-23,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-0.9960849485794308,-1.109462472729058,-0.8703646002044347,0.761854854028554,-0.956768580024359,0.7015064424470883,-0.8951869707488014,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.3037726062659687,-1.4182871576441818,-1.221024197326447
Mumbai,19.076,72.8777,2020-03-01,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-0.6469689267123406,-0.7571748189575157,-0.5299866823362472,0.9495753021345431,-0.9902067131349235,0.8174926867218172,-0.6530107127361959,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.0144149104875522,-1.4182871576441818,-1.1546645814024974
Mumbai,19.076,72.8777,2020-03-08,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,0.09332528833112803,-0.010208051002087827,0.1849383652324563,0.9185559688292801,-0.03930980280324756,0.9320291029431118,-0.25745615798227356,S_0019,2020-05-14,0.0,-0.5891353622465042,1.2738578966107668,0.9929593017155504,-0.07778129903502926,-1.0144149104875522,-1.4182871576441818,-1.0883049654785475
